sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
hs	0.025	0.025	0.0125	0.008475	12.098718	14.105888	11.85	11.974359	15	-2.00717	-2.901282	-0.894112	0.248718	-2.131529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.156136	0.05	0.04	0.065	0.8	NA	NA	NA	NA	NA	NA	NA	NA	-0.137875551316	-0.634879163399	0.0014979	0.0099532
hs	0.8	0.2	0.7625	0.625882	5.860256	9.639023	15.421795	10.641026	13	-3.778767	-7.139744	-3.360977	-9.561538	1.002002	0.870968	3.228013	0.032258	0.451613	12	-2.357045	-11.129032	-8.771987	0.83871	-2.7764	0.276557	0.37125	0.01125	0.43125	0.030303	0.0885506	0.0213987	122.505	29.5179	1.42024396752	0.0671519	1.42315498649	92.9871	1.20495267137	1.18376742228	0.0357278	0.0345892
hs	0	0	0	NA	3.202564	9.639023	2.028205	2.615385	26	-6.436459	-22.797436	-16.360977	1.174359	-7.023639	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.088844	0.0875	0.025	0.125	0.285714	NA	NA	NA	NA	NA	NA	NA	NA	-0.115423946825	-0.117756706648	0.003967	0.0040082
hs	0.725	0.275	0.6625	0.484952	3.841026	7.052944	14.825641	9.333333	11	-3.211918	-7.158974	-3.947056	-10.984615	2.28039	0.73399	1.782454	0.051724	0.392857	4	-1.048463	-3.26601	-2.217546	0.682266	-1.389596	0.284504	0.25	0.024375	0.32125	0.0975	0.103629	0.0352317	121.512	39.9182	1.07887096792	0.0683973	1.11318066309	81.5938	0.617703161586	0.19385748594	0.0219316	0.0079385
hs	0.975	0.025	-0.025	0.016807	2.998718	10.814514	15.719231	9.358974	27	-7.815796	-24.001282	-16.185486	-12.720513	-1.455539	2.356275	7.568766	0.117409	1.236842	21	-5.21249	-18.643725	-13.431234	2.238866	-6.331924	0.134409	0.1425	0.02	0.1775	0.140351	NA	NA	NA	NA	NA	NA	NA	NA	-0.218687884587	-0.0130780942409	0.0079583	0.0004265
hs	0	0	0	NA	6.774359	9.874121	11.892308	9.333333	17	-3.099762	-10.225641	-7.125879	-5.117949	-0.540788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.286321	0.07875	0.05625	0.11625	0.714286	NA	NA	NA	NA	NA	NA	NA	NA	-0.314633895833	-0.16480194574	0.0123708	0.0058597
hs	0.15	0.15	0.15	0.105263	12.267949	17.632359	15.167949	13.717949	33	-5.364411	-20.732051	-15.367641	-2.9	-3.914411	1.8	1.751825	1	1.4	2	0.048175	-0.2	-0.248175	0.8	-0.351825	0.180966	0.03875	0.033125	0.05	0.854839	NA	NA	103.333	32.8601	NA	NA	1.14569762718	70.4729	-1.17652103733	-0.901492377871	0.02021784	0.01313118
hs	0	0	0	NA	1.339744	5.407257	0.044872	0.692308	19	-4.067513	-17.660256	-13.592743	1.294872	-4.714949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.137185	0.37125	0.01125	0.43125	0.030303	NA	NA	NA	NA	NA	NA	NA	NA	-0.0149445975665	0.055403599843	0.0009842	0.0035241
hs	0	0	0	NA	3.578205	8.228434	0.370513	1.974359	19	-4.650229	-15.421795	-10.771566	3.207692	-6.254075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.048054	0.0625	0.031875	0.08875	0.51	NA	NA	NA	NA	NA	NA	NA	NA	0.00842473597228	-0.00993534516841	0.0002138	0.0002652
hs	1	0	0.9875	0.963878	0.539744	1.880785	0.024359	0.282051	6	-1.341041	-5.460256	-4.119215	0.515385	-1.598734	0.539744	1.880785	0.024359	0.282051	6	-1.341041	-5.460256	-4.119215	0.515385	-1.598734	0.188905	0.60875	0.008125	0.68625	0.013347	NA	NA	NA	NA	NA	NA	NA	NA	2.12034371104	2.16263617363	0.1591603	0.1598811
hs	0.825	0.175	0.825	0.758621	5.882051	10.344318	9.707692	7.794872	15	-4.462266	-9.117949	-4.655682	-3.825641	-2.549446	2.329545	5.667125	3.670455	3	12	-3.33758	-9.670455	-6.332875	-1.340909	-2.667125	0.259565	0.07125	0.040625	0.10625	0.570175	0.0349368	0.0206827	74.1875	47.2381	0.52424311289	0.0142541	0.451394902002	26.9494	0.19298684453	0.00909361991776	0.0035288	0.0001795
hs	0	0	0	NA	5.452564	9.403925	6.496154	5.974359	18	-3.951361	-12.547436	-8.596075	-1.04359	-3.429566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.15808	0.105	0.0425	0.1675	0.404762	NA	NA	NA	NA	NA	NA	NA	NA	0.0889526527037	-0.0202216113212	0.003218	0.0007845
hs	0.95	0.05	0.9375	0.890788	3.728205	13.165495	24.784615	14.25641	34	-9.43729	-30.271795	-20.834505	-21.05641	1.090915	1.630156	4.760107	2.045519	1.837838	11	-3.129951	-9.369844	-6.239893	-0.415363	-2.922269	0.359889	0.225	0.0225	0.2925	0.1	0.0413851	0.00162435	105.626	3	3.23781317691	0.03976075	3.56129226442	102.626	1.06437659018	1.25322765641	0.0229327	0.02450441
hs	0.175	0.175	0.175	0.123894	20.464103	25.625696	8.869231	14.666667	35	-5.161593	-14.535897	-9.374304	11.594872	-10.959029	2.47619	3.265306	7.190476	4.833333	3	-0.789116	-0.52381	0.265306	-4.714286	1.568027	0.049773	0.04125	0.035625	0.0525	0.863636	0.068459	0.00633846	144.119	27.4943	2.37959918919	0.06212054	1.65666063673	116.6247	-0.641855804821	-0.54482132279	0.00444393	0.00356489
hs	0.9	0.1	0.8875	0.821231	4.292308	9.874121	15.502564	9.897436	16	-5.581814	-11.707692	-6.125879	-11.210256	0.023315	1.45873	3.858414	1.912698	1.685714	7	-2.399684	-5.54127	-3.141586	-0.453968	-2.1727	0.219436	0.205	0.024375	0.26875	0.118902	0.0464058	0.0241511	82.9159	42.6667	0.653094523705	0.0222547	0.664408084595	40.2492	1.04428533838	0.925996577787	0.0202079	0.0188557
hs	0	0	0	NA	1.111538	3.526472	0.067949	0.589744	11	-2.414933	-9.888462	-7.473528	1.04359	-2.936728	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.014047	0.29875	0.023125	0.40375	0.077406	NA	NA	NA	NA	NA	NA	NA	NA	0.184184062071	0.0156612390491	0.0100997	0.0009507
hs	0	0	0	NA	2.402564	5.407257	2.212821	2.307692	13	-3.004693	-10.597436	-7.592743	0.189744	-3.099565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.048293	0.0875	0.056875	0.13125	0.65	NA	NA	NA	NA	NA	NA	NA	NA	-0.676366557646	-0.80868308318	0.0217678	0.0285208
hs	0.35	0.35	0.2625	0.106782	10.798718	14.105888	19.919231	15.358974	23	-3.30717	-12.201282	-8.894112	-9.120513	1.253087	2.989011	5.660139	14.857143	8.923077	9	-2.671128	-6.010989	-3.339861	-11.868132	3.262938	0.262632	0.05875	0.03625	0.08125	0.617021	0.0451347	0.0188636	82.7418	37.5338	0.872417212842	0.0262711	0.790483055339	45.208	-0.35784977645	-0.194158266272	0.0045934	0.0022391
hs	0.9	0.1	0.9	0.857143	5.132051	11.049612	24.457692	14.794872	20	-5.917561	-14.867949	-8.950388	-19.325641	3.74526	2.101587	5.305319	7.955556	5.028571	11	-3.203732	-8.898413	-5.694681	-5.853968	-0.276748	0.295171	0.19125	0.03125	0.27125	0.163399	0.0501412	0.0289251	88.4794	50.75	0.550133295141	0.0212161	0.555858138636	37.7294	0.143885400303	0.192052513675	0.0048701	0.0065295
hs	0.05	0.05	0.025	0.017241	21.279487	22.334322	20.053846	20.666667	18	-1.054835	3.279487	4.334322	1.225641	-1.667655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.108846	0.04125	0.035625	0.0525	0.863636	0.181452	0.00674569	200	24.6188	3.29208737349	0.17470631	2.09480698784	175.3812	-0.348064526725	-0.318133379156	0.00253151	0.00228033
hs	0.65	0.35	0.4375	0.196315	9.892308	14.340986	19.441026	14.666667	14	-4.448678	-4.107692	0.340986	-9.548718	0.325681	2.784615	5.241148	6.575385	4.68	11	-2.456532	-8.215385	-5.758852	-3.790769	-0.561148	0.194201	0.06625	0.050625	0.0975	0.764151	0.0211749	0.0136631	56.3554	36.7802	0.43811774961	0.0075118	0.426718408631	19.5752	-0.758542986756	-0.727744458154	0.01074904	0.0101483
hs	0	0	0	NA	3.060256	8.463533	1.298718	2.179487	22	-5.403276	-18.939744	-13.536467	1.761538	-6.284045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.037312	0.0675	0.036875	0.09375	0.546296	NA	NA	NA	NA	NA	NA	NA	NA	-0.257165531818	-0.383068007214	0.0087854	0.0140593
hs	0.95	0.05	-0.05	0.033898	2.805128	8.228434	11.246154	7.025641	19	-5.423306	-16.194872	-10.771566	-8.441026	-1.202793	1.923186	5.950134	0.130868	1.027027	19	-4.026947	-17.076814	-13.049866	1.792319	-4.923107	0.089871	0.11125	0.04875	0.18625	0.438202	NA	NA	58.7788	200	NA	NA	-1.224536121	141.2212	-0.358393365	-0.37148702	0.0184075	0.0189931
hs	0	0	0	NA	2.915385	10.344318	0.161538	1.538462	35	-7.428933	-32.084615	-24.655682	2.753846	-8.805856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.070895	0.07625	0.025625	0.11	0.336066	NA	NA	NA	NA	NA	NA	NA	NA	0.150689065	0.379041133	0.0061546	0.0136544
hs	0.2	0.2	-0.1125	0.027168	25.978205	26.801186	22.380769	24.179487	24	-0.822981	1.978205	2.801186	3.597436	-2.621699	19.642857	18.512397	26.642857	23.142857	7	1.13046	12.642857	11.512397	-7	4.63046	0.170179	0.05125	0.04125	0.06625	0.804878	0.0237419	0.0107628	59.7857	29.6593	0.791145676	0.0129791	0.700990766	30.1264	-0.22768897	-0.29865954	0.00122421	0.00181389
hs	0	0	0	NA	2.003846	6.347649	0.098718	1.051282	17	-4.343803	-14.996154	-10.652351	1.905128	-5.296367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.013701	0.22625	0.02375	0.29375	0.104972	NA	NA	NA	NA	NA	NA	NA	NA	-0.147122992	-0.205061626	0.0065576	0.0094343
hs	0.175	0.175	0.1625	0.095982	19.265385	19.983341	14.529487	16.897436	22	-0.717956	-2.734615	-2.016659	4.735897	-3.085905	2.571429	3.265306	7.761905	5.166667	3	-0.693878	-0.428571	0.265306	-5.190476	1.901361	0.129858	0.04	0.034375	0.05125	0.859375	0.0485188	0.00793416	116	25.4943	1.810773863	0.04058464	1.515135293	90.5057	-0.89725597	-0.600941583	0.00973366	0.00502079
hs	0	0	0	NA	3.758974	7.993336	9.471795	6.615385	19	-4.234362	-15.241026	-11.006664	-5.712821	-1.377952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.184591	0.13	0.04	0.205	0.307692	NA	NA	NA	NA	NA	NA	NA	NA	-0.077836395	-0.008549275	0.0028623	0.0003019
