sclass	DAF_1	MAF_1	DDAF_1	FST_1	ThetaPi_1	ThetaS_1	ThetaH_1	ThetaL_1	ThetaXi_1	TajD_1	FuLiF_1	FuLiD_1	FayWuH_1	ZengE_1	Theta1Pi_1	Theta1S_1	Theta1H_1	Theta1L_1	Theta1Xi_1	TajD1_1	FuLiF1_1	FuLiD1_1	FayWuH1_1	ZengE1_1	ZA_1	H1_1	H2_1	H12_1	H2.H1_1	iHH1_1	iHH0_1	SL1_1	SL0_1	iHS_1	DiHH_1	nSL_1	DnSL_1	XPEHH_12	XPEHH_13	DXPEHH_12	DXPEHH_13
ss	0.85	0.15	0.75	0.551282	16.8141	17.39726	10.21154	13.51282	25	-0.583159	-8.185897	-7.602739	6.602564	-3.884441	16.32264	16.14166	8.707665	12.51515	23	0.180976	-6.677362	-6.858338	7.614973	-3.626511	0.051039	0.05625	0.03375	0.07875	0.6	0.00635411	0.0280317	23.4109	43.7667	-1.484234	0.02167759	-0.6256715	20.3558	-0.7854488	-1.045142	0.00574434	0.00876094
ss	1	0	0	NA	10.16026	15.04628	9.480769	9.820513	22	-4.886024	-11.83974	-6.95372	0.679487	-5.225767	10.16026	15.04628	9.480769	9.820513	22	-4.886024	-11.83974	-6.95372	0.679487	-5.225767	0.1607	0.05	0.04	0.065	0.8	NA	NA	NA	NA	NA	NA	NA	NA	-0.3976106	-0.5269377	0.0048907	0.0070345
ss	0.125	0.125	0.125	0.086957	14.41667	17.39726	10.04487	12.23077	26	-2.980595	-11.58333	-8.602739	4.371795	-5.166492	9.8	11.52	21.2	15.5	11	-1.72	-1.2	0.52	-11.4	3.98	0.105829	0.055	0.0325	0.0775	0.590909	0.0240114	0.00853455	63.25	27.1513	1.034406	0.01547685	0.8456702	36.0987	-0.7839321	-0.48808	0.00776427	0.00326683
ss	1	0	0	NA	11.60641	21.15883	8.547436	10.07692	52	-9.552421	-40.39359	-30.84117	3.058974	-11.08191	11.60641	21.15883	8.547436	10.07692	52	-9.552421	-40.39359	-30.84117	3.058974	-11.08191	0.034029	0.0325	0.026875	0.04	0.826923	NA	NA	NA	NA	NA	NA	NA	NA	-0.2218621	-0.2063981	0.00188491	0.0017071
ss	0.125	0.125	0.125	0.086957	16.12564	18.57275	14.43846	15.28205	19	-2.447111	-2.874359	-0.427248	1.687179	-3.290701	13	13.44	21	17	11	-0.44	2	2.44	-8	3.56	0.155331	0.03375	0.028125	0.04125	0.833333	NA	NA	98.55	23.7	NA	NA	1.425089	74.85	-0.1803516	-0.5167634	0.00135376	0.0047557
ss	0.95	0.05	-0.05	0.033898	14.7782	17.63236	9.273077	12.02564	27	-2.854154	-12.2218	-9.367641	5.505128	-5.606718	14.67283	16.66037	7.543385	11.10811	25	-1.987544	-10.32717	-8.339625	7.129445	-5.552266	0.087489	0.0325	0.03	0.0375	0.923077	0.00578017	0.0154722	24.8947	50	-0.9846118	0.00969203	-0.6973681	25.1053	-0.8501906	-0.9187292	0.00768089	0.00858089
ss	1	0	0	NA	12.60385	14.57608	16.06282	14.33333	21	-1.972238	-8.396154	-6.423916	-3.458974	-0.242751	12.60385	14.57608	16.06282	14.33333	21	-1.972238	-8.396154	-6.423916	-3.458974	-0.242751	0.115472	0.04125	0.035625	0.0525	0.863636	NA	NA	NA	NA	NA	NA	NA	NA	-0.4065839	-0.8731764	0.0074392	0.0220771
ss	0.275	0.275	0.15	0.046176	14.5641	16.69197	13.33333	13.94872	22	-2.127864	-7.435897	-5.308033	1.230769	-2.743249	12.32727	9.901097	8.872727	10.6	2	2.426175	10.32727	7.901097	3.454545	0.698903	0.12462	0.05375	0.038125	0.0725	0.709302	0.0167005	0.00964093	36.5	29.1515	0.5494211	0.00705957	0.2248059	7.3485	-1.515411	-1.347007	0.02238333	0.01793733
ss	1	0	0	NA	11.70513	12.6953	22.44872	17.07692	12	-0.990171	-0.294872	0.695299	-10.74359	4.381624	11.70513	12.6953	22.44872	17.07692	12	-0.990171	-0.294872	0.695299	-10.74359	4.381624	0.153116	0.04125	0.035625	0.0525	0.863636	NA	NA	NA	NA	NA	NA	NA	NA	-0.6505075	-0.6557572	0.0099076	0.0099983
ss	0.275	0.275	0.275	0.201835	15.6641	18.10256	10.9	13.28205	27	-2.438453	-11.3359	-8.897444	4.764103	-4.820504	13.05454	11.26677	13.54546	13.3	9	1.787779	4.054545	2.266766	-0.490909	2.033234	0.132223	0.04	0.034375	0.05125	0.859375	0.0243808	0.0101013	38.9727	23.3054	0.8811318	0.0142795	0.5141763	15.6673	-0.8929479	-0.7822774	0.00964692	0.00791121
